"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2011"	"2011"	20	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2011"	"2011"	75	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2011"	"2011"	233	30951	7.52803
	"Alabama"	"01"	"16 years"	"16"	"2011"	"2011"	598	32012	18.68049
	"Alabama"	"01"	"17 years"	"17"	"2011"	"2011"	1152	32912	35.00243
	"Alabama"	"01"	"18 years"	"18"	"2011"	"2011"	1837	32734	56.11902
	"Alabama"	"01"	"19 years"	"19"	"2011"	"2011"	2789	34473	80.90390
	"Alabama"	"01"	"20 years"	"20"	"2011"	"2011"	3335	37340	89.31441
	"Alabama"	"01"	"21 years"	"21"	"2011"	"2011"	3590	36659	97.92957
	"Alabama"	"01"	"22 years"	"22"	"2011"	"2011"	3492	34910	100.02865
	"Alabama"	"01"	"23 years"	"23"	"2011"	"2011"	3609	33229	108.60995
	"Alabama"	"01"	"24 years"	"24"	"2011"	"2011"	3565	32116	111.00386
	"Alabama"	"01"	"25 years"	"25"	"2011"	"2011"	3480	31456	110.63072
	"Alabama"	"01"	"26 years"	"26"	"2011"	"2011"	3617	31858	113.53506
	"Alabama"	"01"	"27 years"	"27"	"2011"	"2011"	3651	31157	117.18073
	"Alabama"	"01"	"28 years"	"28"	"2011"	"2011"	3440	31060	110.75338
	"Alabama"	"01"	"29 years"	"29"	"2011"	"2011"	3310	31492	105.10606
	"Alabama"	"01"	"30 years"	"30"	"2011"	"2011"	3119	31667	98.49370
	"Alabama"	"01"	"31 years"	"31"	"2011"	"2011"	2705	32174	84.07410
	"Alabama"	"01"	"32 years"	"32"	"2011"	"2011"	2411	30625	78.72653
	"Alabama"	"01"	"33 years"	"33"	"2011"	"2011"	1978	30388	65.09148
	"Alabama"	"01"	"34 years"	"34"	"2011"	"2011"	1736	30041	57.78769
	"Alabama"	"01"	"35 years"	"35"	"2011"	"2011"	1420	28976	49.00607
	"Alabama"	"01"	"36 years"	"36"	"2011"	"2011"	1143	30122	37.94569
	"Alabama"	"01"	"37 years"	"37"	"2011"	"2011"	820	29804	27.51309
	"Alabama"	"01"	"38 years"	"38"	"2011"	"2011"	701	30810	22.75235
	"Alabama"	"01"	"39 years"	"39"	"2011"	"2011"	516	31842	16.20501
	"Alabama"	"01"	"40 years"	"40"	"2011"	"2011"	406	33538	12.10567
	"Alabama"	"01"	"41 years"	"41"	"2011"	"2011"	254	32950	7.70865
	"Alabama"	"01"	"42 years"	"42"	"2011"	"2011"	166	31409	5.28511
	"Alabama"	"01"	"43 years"	"43"	"2011"	"2011"	88	30682	2.86813
	"Alabama"	"01"	"44 years"	"44"	"2011"	"2011"	45	30797	1.46118
	"Alabama"	"01"	"45 years"	"45"	"2011"	"2011"	24	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2011"	"2011"	14	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2011"	"2011"	19	4917	3.86414
	"Alaska"	"02"	"16 years"	"16"	"2011"	"2011"	65	5020	12.94821
	"Alaska"	"02"	"17 years"	"17"	"2011"	"2011"	117	5212	22.44820
	"Alaska"	"02"	"18 years"	"18"	"2011"	"2011"	242	4592	52.70035
	"Alaska"	"02"	"19 years"	"19"	"2011"	"2011"	437	4599	95.02066
	"Alaska"	"02"	"20 years"	"20"	"2011"	"2011"	572	5075	112.70936
	"Alaska"	"02"	"21 years"	"21"	"2011"	"2011"	644	5174	124.46850
	"Alaska"	"02"	"22 years"	"22"	"2011"	"2011"	657	5124	128.22014
	"Alaska"	"02"	"23 years"	"23"	"2011"	"2011"	687	5327	128.96565
	"Alaska"	"02"	"24 years"	"24"	"2011"	"2011"	692	5152	134.31677
	"Alaska"	"02"	"25 years"	"25"	"2011"	"2011"	692	5638	122.73856
	"Alaska"	"02"	"26 years"	"26"	"2011"	"2011"	743	5571	133.36923
	"Alaska"	"02"	"27 years"	"27"	"2011"	"2011"	732	5291	138.34814
	"Alaska"	"02"	"28 years"	"28"	"2011"	"2011"	697	5538	125.85771
	"Alaska"	"02"	"29 years"	"29"	"2011"	"2011"	598	5225	114.44976
	"Alaska"	"02"	"30 years"	"30"	"2011"	"2011"	624	5117	121.94645
	"Alaska"	"02"	"31 years"	"31"	"2011"	"2011"	543	5131	105.82732
	"Alaska"	"02"	"32 years"	"32"	"2011"	"2011"	442	4628	95.50562
	"Alaska"	"02"	"33 years"	"33"	"2011"	"2011"	473	4644	101.85185
	"Alaska"	"02"	"34 years"	"34"	"2011"	"2011"	378	4539	83.27826
	"Alaska"	"02"	"35 years"	"35"	"2011"	"2011"	309	4246	72.77438
	"Alaska"	"02"	"36 years"	"36"	"2011"	"2011"	275	4441	61.92299
	"Alaska"	"02"	"37 years"	"37"	"2011"	"2011"	225	4252	52.91627
	"Alaska"	"02"	"38 years"	"38"	"2011"	"2011"	171	4246	40.27320
	"Alaska"	"02"	"39 years"	"39"	"2011"	"2011"	141	4429	31.83563
	"Alaska"	"02"	"40 years"	"40"	"2011"	"2011"	98	4673	20.97154
	"Alaska"	"02"	"41 years"	"41"	"2011"	"2011"	64	4912	13.02932
	"Alaska"	"02"	"42 years"	"42"	"2011"	"2011"	50	4373	11.43380
	"Alaska"	"02"	"43 years"	"43"	"2011"	"2011"	31	4348	7.12971
	"Alaska"	"02"	"44 years"	"44"	"2011"	"2011"	18	4439	4.05497
	"Arizona"	"04"	"14 years"	"14"	"2011"	"2011"	94	Not Available	Not Available
	"Arizona"	"04"	"15 years"	"15"	"2011"	"2011"	255	43303	5.88874
	"Arizona"	"04"	"16 years"	"16"	"2011"	"2011"	791	43545	18.16512
