"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2014"	"2014"	11	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2014"	"2014"	51	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2014"	"2014"	158	31561	5.00618
	"Alabama"	"01"	"16 years"	"16"	"2014"	"2014"	393	31504	12.47461
	"Alabama"	"01"	"17 years"	"17"	"2014"	"2014"	807	30859	26.15120
	"Alabama"	"01"	"18 years"	"18"	"2014"	"2014"	1400	30498	45.90465
	"Alabama"	"01"	"19 years"	"19"	"2014"	"2014"	2251	32000	70.34375
	"Alabama"	"01"	"20 years"	"20"	"2014"	"2014"	3001	33384	89.89336
	"Alabama"	"01"	"21 years"	"21"	"2014"	"2014"	3228	33863	95.32528
	"Alabama"	"01"	"22 years"	"22"	"2014"	"2014"	3530	35103	100.56121
	"Alabama"	"01"	"23 years"	"23"	"2014"	"2014"	3617	37196	97.24164
	"Alabama"	"01"	"24 years"	"24"	"2014"	"2014"	3716	36395	102.10194
	"Alabama"	"01"	"25 years"	"25"	"2014"	"2014"	3735	33887	110.21926
	"Alabama"	"01"	"26 years"	"26"	"2014"	"2014"	3700	32154	115.07122
	"Alabama"	"01"	"27 years"	"27"	"2014"	"2014"	3616	31275	115.61950
	"Alabama"	"01"	"28 years"	"28"	"2014"	"2014"	3575	31337	114.08239
	"Alabama"	"01"	"29 years"	"29"	"2014"	"2014"	3515	31693	110.90777
	"Alabama"	"01"	"30 years"	"30"	"2014"	"2014"	3241	31031	104.44394
	"Alabama"	"01"	"31 years"	"31"	"2014"	"2014"	3087	31269	98.72398
	"Alabama"	"01"	"32 years"	"32"	"2014"	"2014"	2671	31500	84.79365
	"Alabama"	"01"	"33 years"	"33"	"2014"	"2014"	2244	31605	71.00142
	"Alabama"	"01"	"34 years"	"34"	"2014"	"2014"	1933	32370	59.71579
	"Alabama"	"01"	"35 years"	"35"	"2014"	"2014"	1600	30709	52.10199
	"Alabama"	"01"	"36 years"	"36"	"2014"	"2014"	1196	30549	39.15022
	"Alabama"	"01"	"37 years"	"37"	"2014"	"2014"	912	30162	30.23672
	"Alabama"	"01"	"38 years"	"38"	"2014"	"2014"	704	29202	24.10794
	"Alabama"	"01"	"39 years"	"39"	"2014"	"2014"	568	30162	18.83164
	"Alabama"	"01"	"40 years"	"40"	"2014"	"2014"	372	29680	12.53369
	"Alabama"	"01"	"41 years"	"41"	"2014"	"2014"	246	30894	7.96271
	"Alabama"	"01"	"42 years"	"42"	"2014"	"2014"	151	32154	4.69615
	"Alabama"	"01"	"43 years"	"43"	"2014"	"2014"	102	33914	3.00761
	"Alabama"	"01"	"44 years"	"44"	"2014"	"2014"	45	33199	1.35546
	"Alabama"	"01"	"45 years"	"45"	"2014"	"2014"	19	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2014"	"2014"	15	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2014"	"2014"	11	4860	2.26337
	"Alaska"	"02"	"16 years"	"16"	"2014"	"2014"	48	4905	9.78593
	"Alaska"	"02"	"17 years"	"17"	"2014"	"2014"	81	4923	16.45338
	"Alaska"	"02"	"18 years"	"18"	"2014"	"2014"	193	4404	43.82380
	"Alaska"	"02"	"19 years"	"19"	"2014"	"2014"	312	4077	76.52686
	"Alaska"	"02"	"20 years"	"20"	"2014"	"2014"	449	4476	100.31278
	"Alaska"	"02"	"21 years"	"21"	"2014"	"2014"	515	4757	108.26151
	"Alaska"	"02"	"22 years"	"22"	"2014"	"2014"	623	5328	116.92943
	"Alaska"	"02"	"23 years"	"23"	"2014"	"2014"	681	5897	115.48245
	"Alaska"	"02"	"24 years"	"24"	"2014"	"2014"	712	5896	120.75984
	"Alaska"	"02"	"25 years"	"25"	"2014"	"2014"	725	5745	126.19669
	"Alaska"	"02"	"26 years"	"26"	"2014"	"2014"	693	5705	121.47239
	"Alaska"	"02"	"27 years"	"27"	"2014"	"2014"	689	5593	123.18970
	"Alaska"	"02"	"28 years"	"28"	"2014"	"2014"	747	5618	132.96547
	"Alaska"	"02"	"29 years"	"29"	"2014"	"2014"	682	5733	118.96040
	"Alaska"	"02"	"30 years"	"30"	"2014"	"2014"	621	5458	113.77794
	"Alaska"	"02"	"31 years"	"31"	"2014"	"2014"	661	5526	119.61636
	"Alaska"	"02"	"32 years"	"32"	"2014"	"2014"	587	5190	113.10212
	"Alaska"	"02"	"33 years"	"33"	"2014"	"2014"	532	5048	105.38827
	"Alaska"	"02"	"34 years"	"34"	"2014"	"2014"	443	5041	87.87939
	"Alaska"	"02"	"35 years"	"35"	"2014"	"2014"	327	4529	72.20137
	"Alaska"	"02"	"36 years"	"36"	"2014"	"2014"	301	4488	67.06774
	"Alaska"	"02"	"37 years"	"37"	"2014"	"2014"	191	4373	43.67711
	"Alaska"	"02"	"38 years"	"38"	"2014"	"2014"	174	4095	42.49084
	"Alaska"	"02"	"39 years"	"39"	"2014"	"2014"	122	4216	28.93738
	"Alaska"	"02"	"40 years"	"40"	"2014"	"2014"	102	4100	24.87805
	"Alaska"	"02"	"41 years"	"41"	"2014"	"2014"	62	4019	15.42672
	"Alaska"	"02"	"42 years"	"42"	"2014"	"2014"	43	4252	10.11289
	"Alaska"	"02"	"43 years"	"43"	"2014"	"2014"	28	4415	6.34202
	"Alaska"	"02"	"44 years"	"44"	"2014"	"2014"	12	4635	2.58900
	"Arizona"	"04"	"14 years"	"14"	"2014"	"2014"	42	Not Available	Not Available
	"Arizona"	"04"	"15 years"	"15"	"2014"	"2014"	187	44629	4.19010
	"Arizona"	"04"	"16 years"	"16"	"2014"	"2014"	528	44215	11.94165
	"Arizona"	"04"	"17 years"	"17"	"2014"	"2014"	1068	44311	24.10237
	"Arizona"	"04"	"18 years"	"18"	"2014"	"2014"	1901	44280	42.93135
	"Arizona"	"04"	"19 years"	"19"	"2014"	"2014"	2938	43780	67.10827
	"Arizona"	"04"	"20 years"	"20"	"2014"	"2014"	3684	44574	82.64908
	"Arizona"	"04"	"21 years"	"21"	"2014"	"2014"	3904	45183	86.40418
	"Arizona"	"04"	"22 years"	"22"	"2014"	"2014"	4401	46832	93.97421
	"Arizona"	"04"	"23 years"	"23"	"2014"	"2014"	4627	50285	92.01551
	"Arizona"	"04"	"24 years"	"24"	"2014"	"2014"	4843	49116	98.60331
	"Arizona"	"04"	"25 years"	"25"	"2014"	"2014"	4970	46189	107.60138
	"Arizona"	"04"	"26 years"	"26"	"2014"	"2014"	5049	43945	114.89362
	"Arizona"	"04"	"27 years"	"27"	"2014"	"2014"	5085	41952	121.20995
	"Arizona"	"04"	"28 years"	"28"	"2014"	"2014"	5096	42134	120.94745
	"Arizona"	"04"	"29 years"	"29"	"2014"	"2014"	4964	43337	114.54415
	"Arizona"	"04"	"30 years"	"30"	"2014"	"2014"	4822	42045	114.68665
	"Arizona"	"04"	"31 years"	"31"	"2014"	"2014"	4657	43248	107.68128
	"Arizona"	"04"	"32 years"	"32"	"2014"	"2014"	4436	44035	100.73805
	"Arizona"	"04"	"33 years"	"33"	"2014"	"2014"	3881	43766	88.67614
	"Arizona"	"04"	"34 years"	"34"	"2014"	"2014"	3475	44304	78.43536
	"Arizona"	"04"	"35 years"	"35"	"2014"	"2014"	2970	41910	70.86614
	"Arizona"	"04"	"36 years"	"36"	"2014"	"2014"	2452	40964	59.85744
	"Arizona"	"04"	"37 years"	"37"	"2014"	"2014"	1900	41024	46.31435
	"Arizona"	"04"	"38 years"	"38"	"2014"	"2014"	1542	40379	38.18817
	"Arizona"	"04"	"39 years"	"39"	"2014"	"2014"	1225	41711	29.36875
	"Arizona"	"04"	"40 years"	"40"	"2014"	"2014"	799	40444	19.75571
	"Arizona"	"04"	"41 years"	"41"	"2014"	"2014"	528	39865	13.24470
	"Arizona"	"04"	"42 years"	"42"	"2014"	"2014"	389	41790	9.30845
	"Arizona"	"04"	"43 years"	"43"	"2014"	"2014"	238	43681	5.44859
	"Arizona"	"04"	"44 years"	"44"	"2014"	"2014"	144	44072	3.26738
	"Arizona"	"04"	"45 years"	"45"	"2014"	"2014"	66	Not Available	Not Available
	"Arizona"	"04"	"46 years"	"46"	"2014"	"2014"	30	Not Available	Not Available
	"Arizona"	"04"	"47 years"	"47"	"2014"	"2014"	17	Not Available	Not Available
	"Arizona"	"04"	"50 years and over"	"50+"	"2014"	"2014"	12	Not Available	Not Available
	"Arkansas"	"05"	"14 years"	"14"	"2014"	"2014"	36	Not Available	Not Available
	"Arkansas"	"05"	"15 years"	"15"	"2014"	"2014"	103	19372	5.31695
	"Arkansas"	"05"	"16 years"	"16"	"2014"	"2014"	274	19287	14.20646
	"Arkansas"	"05"	"17 years"	"17"	"2014"	"2014"	568	19512	29.11029
	"Arkansas"	"05"	"18 years"	"18"	"2014"	"2014"	1070	18729	57.13065
	"Arkansas"	"05"	"19 years"	"19"	"2014"	"2014"	1767	18750	94.24000
	"Arkansas"	"05"	"20 years"	"20"	"2014"	"2014"	2111	19375	108.95484
	"Arkansas"	"05"	"21 years"	"21"	"2014"	"2014"	2277	19858	114.66412
