"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2012"	"2012"	20	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2012"	"2012"	66	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2012"	"2012"	224	30641	7.31047
	"Alabama"	"01"	"16 years"	"16"	"2012"	"2012"	519	30839	16.82934
	"Alabama"	"01"	"17 years"	"17"	"2012"	"2012"	982	32298	30.40436
	"Alabama"	"01"	"18 years"	"18"	"2012"	"2012"	1684	32005	52.61678
	"Alabama"	"01"	"19 years"	"19"	"2012"	"2012"	2786	32440	85.88163
	"Alabama"	"01"	"20 years"	"20"	"2012"	"2012"	3200	35007	91.41029
	"Alabama"	"01"	"21 years"	"21"	"2012"	"2012"	3479	37638	92.43318
	"Alabama"	"01"	"22 years"	"22"	"2012"	"2012"	3523	36699	95.99717
	"Alabama"	"01"	"23 years"	"23"	"2012"	"2012"	3367	34662	97.13808
	"Alabama"	"01"	"24 years"	"24"	"2012"	"2012"	3531	32715	107.93214
	"Alabama"	"01"	"25 years"	"25"	"2012"	"2012"	3553	31651	112.25554
	"Alabama"	"01"	"26 years"	"26"	"2012"	"2012"	3644	31575	115.40776
	"Alabama"	"01"	"27 years"	"27"	"2012"	"2012"	3512	31645	110.98120
	"Alabama"	"01"	"28 years"	"28"	"2012"	"2012"	3423	31117	110.00418
	"Alabama"	"01"	"29 years"	"29"	"2012"	"2012"	3215	31083	103.43274
	"Alabama"	"01"	"30 years"	"30"	"2012"	"2012"	3088	31526	97.95090
	"Alabama"	"01"	"31 years"	"31"	"2012"	"2012"	2812	31627	88.91137
	"Alabama"	"01"	"32 years"	"32"	"2012"	"2012"	2522	32230	78.25008
	"Alabama"	"01"	"33 years"	"33"	"2012"	"2012"	2056	30749	66.86396
	"Alabama"	"01"	"34 years"	"34"	"2012"	"2012"	1733	30425	56.95974
	"Alabama"	"01"	"35 years"	"35"	"2012"	"2012"	1512	30143	50.16090
	"Alabama"	"01"	"36 years"	"36"	"2012"	"2012"	1059	29003	36.51346
	"Alabama"	"01"	"37 years"	"37"	"2012"	"2012"	880	30224	29.11593
	"Alabama"	"01"	"38 years"	"38"	"2012"	"2012"	633	29835	21.21669
	"Alabama"	"01"	"39 years"	"39"	"2012"	"2012"	490	30659	15.98226
	"Alabama"	"01"	"40 years"	"40"	"2012"	"2012"	363	31867	11.39109
	"Alabama"	"01"	"41 years"	"41"	"2012"	"2012"	256	33714	7.59328
	"Alabama"	"01"	"42 years"	"42"	"2012"	"2012"	120	32971	3.63956
	"Alabama"	"01"	"43 years"	"43"	"2012"	"2012"	93	31337	2.96774
	"Alabama"	"01"	"44 years"	"44"	"2012"	"2012"	53	30678	1.72762
	"Alabama"	"01"	"45 years"	"45"	"2012"	"2012"	25	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2012"	"2012"	11	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2012"	"2012"	22	4898	4.49163
	"Alaska"	"02"	"16 years"	"16"	"2012"	"2012"	51	4817	10.58750
